sample_id,Particle Diameter (µm),Volume Frequency Percent,Particle Diameter (µm),Cumulative Finer Volume Percent
T1SS1,0.3569703095283665,0,0.3468423306208923,0
T1SS1,0.3781221301456121,0.002340000000000675,0.36739403075935295,0
T1SS1,0.40052727492871126,0.01162999999999581,0.3891634956897441,0.002340000000000675
T1SS1,0.4242600080033455,0.0316800000000006,0.4122228825123773,0.013969999999996485
T1SS1,0.44939899392129007,0.06515999999999744,0.4366486239045555,0.04564999999999708
T1SS1,0.4760275584020523,0.11335000000000095,0.46252168146443734,0.11080999999999452
T1SS1,0.5042339645244234,0.17591000000000134,0.48992781406646874,0.22415999999999547
T1SS1,0.5341117052834085,0.2506500000000078,0.5189578621178732,0.4000699999999968
T1SS1,0.5657598134822446,0.333669999999997,0.5497080486583991,0.6507200000000046
T1SS1,0.5992831899866757,0.4195100000000007,0.5822802983013474,0.9843900000000017
T1SS1,0.6347929514295152,0.5015400000000003,0.6167825750730453,1.4039000000000024
T1SS1,0.6724067985179998,0.572869999999992,0.653329240270564,1.9054400000000027
T1SS1,0.7122494061647261,0.6272400000000067,0.6920414315238431,2.4783099999999947
T1SS1,0.7544528367352978,0.6603000000000026,0.7330474643186544,3.1055500000000014
T1SS1,0.7991569777824372,0.6705099999999908,0.7764832573113003,3.765850000000004
T1SS1,0.8465100057174706,0.6600099999999998,0.8224927828447904,4.436359999999995
T1SS1,0.8966688769560786,0.6346800000000097,0.871228544159779,5.096369999999995
T1SS1,0.9497998481662624,0.6035599999999919,0.9228520808820317,5.731050000000004
T1SS1,1.006079027342937,0.5774600000000074,0.9775345044619053,6.334609999999996
T1SS1,1.0656929575357494,0.5668699999999971,1.035457065340608,6.9120700000000035
T1SS1,1.1288392351649452,0.5797399999999953,1.096811753723183,7.478940000000001
T1SS1,1.1957271649747494,0.6191500000000016,1.1618019359495164,8.058679999999995
T1SS1,1.266578453795182,0.6819200000000025,1.230643028572711,8.677829999999997
T1SS1,1.3416279454118374,0.7587600000000028,1.3035632123791052,9.35975
T1SS1,1.4211243989794413,0.8362599999999998,1.3808041887166405,10.118510000000002
T1SS1,1.505331313559309,0.9007099999999935,1.462621980638506,10.954770000000003
T1SS1,1.5945278015137192,0.9426000000000045,1.5492877815175217,11.855479999999996
T1SS1,1.6890095136521597,0.9603099999999976,1.641088853944092,12.79808
T1SS1,1.7890896191959311,0.9614000000000011,1.7383294818872077,13.758389999999999
T1SS1,1.8950998438093074,0.9600999999999971,1.8413319792745309,14.71979
T1SS1,2.007391569137907,0.9718500000000074,1.950437758334618,15.679889999999997
T1SS1,2.126336997498811,1.007199999999997,2.066008461242384,16.651740000000004
T1SS1,2.2523303855829075,1.0677199999999942,2.1884271588187936,17.65894
T1SS1,2.385789351258694,1.145840000000009,2.3180996202579585,18.726659999999995
T1SS1,2.527156257809079,1.2285699999999955,2.4554556580903,19.872500000000002
T1SS1,2.6768996801893645,1.3024499999999994,2.600950552839803,21.10107
T1SS1,2.835515958166477,1.3575899999999974,2.7550665620974897,22.40352
T1SS1,3.0035308414874904,1.3902399999999981,2.9183145190131516,23.761109999999995
T1SS1,3.181501232530502,1.404430000000001,3.09123552550365,25.151349999999994
T1SS1,3.37001703221407,1.4115199999999994,3.274402745790115,26.555779999999995
T1SS1,3.5697030952836655,1.4244500000000104,3.468423306208923,27.967299999999994
T1SS1,3.78122130145612,1.4481199999999972,3.67394030759353,29.391750000000005
T1SS1,4.005272749287112,1.4740299999999928,3.89163495689744,30.83987
T1SS1,4.242600080033455,1.4870099999999997,4.122228825123773,32.3139
T1SS1,4.493989939212901,1.4780000000000015,4.366486239045554,33.800909999999995
T1SS1,4.7602755840205235,1.4494900000000088,4.625216814644375,35.278909999999996
T1SS1,5.042339645244233,1.4105499999999993,4.899278140664687,36.72840000000001
T1SS1,5.3411170528340834,1.3691599999999915,5.18957862117873,38.13895000000001
T1SS1,5.657598134822446,1.3288000000000078,5.49708048658399,39.508109999999995
T1SS1,5.992831899866758,1.2903200000000004,5.822802983013474,40.83691
T1SS1,6.347929514295153,1.2548699999999968,6.167825750730454,42.127230000000004
T1SS1,6.724067985179997,1.2225399999999942,6.533292402705641,43.3821
T1SS1,7.122494061647259,1.1916100000000096,6.920414315238428,44.604639999999996
T1SS1,7.544528367352981,1.161129999999999,7.330474643186545,45.79625000000001
T1SS1,7.991569777824374,1.1334100000000014,7.764832573113007,46.95738
T1SS1,8.465100057174705,1.1147399999999918,8.224927828447903,48.090790000000005
T1SS1,8.966688769560786,1.1130800000000052,8.71228544159779,49.205529999999996
T1SS1,9.497998481662622,1.1334999999999984,9.228520808820319,50.31861
T1SS1,10.060790273429369,1.1738499999999985,9.775345044619048,51.452110000000005
T1SS1,10.656929575357497,1.2234499999999982,10.354570653406086,52.62595999999999
T1SS1,11.28839235164945,1.2669800000000009,10.968117537231828,53.84941
T1SS1,11.957271649747495,1.2900400000000034,11.618019359495165,55.116389999999996
T1SS1,12.665784537951817,1.2840499999999977,12.30643028572711,56.40643000000001
T1SS1,13.416279454118373,1.248870000000002,13.035632123791045,57.69048
T1SS1,14.211243989794415,1.1914399999999992,13.80804188716641,58.939350000000005
T1SS1,15.053313135593088,1.1227600000000004,14.626219806385059,60.13079
T1SS1,15.94527801513719,1.0542099999999999,15.492877815175214,61.253550000000004
T1SS1,16.89009513652159,0.9950299999999968,16.41088853944092,62.30776
T1SS1,17.89089619195931,0.9500100000000011,17.383294818872066,63.302789999999995
T1SS1,18.950998438093077,0.9184100000000028,18.413319792745316,64.2528
T1SS1,20.07391569137907,0.8956699999999984,19.504377583346177,65.17121
T1SS1,21.26336997498811,0.8762500000000006,20.66008461242384,66.06688000000001
T1SS1,22.523303855829067,0.8554699999999971,21.884271588187936,66.94313000000001
T1SS1,23.85789351258694,0.8308300000000046,23.180996202579568,67.7986
T1SS1,25.271562578090798,0.8022699999999994,24.554556580903018,68.62943
T1SS1,26.76899680189364,0.7716000000000001,26.009505528398027,69.4317
T1SS1,28.355159581664765,0.7421999999999984,27.550665620974893,70.2033
T1SS1,30.035308414874894,0.7186299999999979,29.183145190131516,70.9455
T1SS1,31.815012325305016,0.7056400000000018,30.912355255036484,71.66413
T1SS1,33.70017032214071,0.7067199999999996,32.74402745790117,72.36977
T1SS1,35.69703095283665,0.7227199999999989,34.684233062089234,73.07649
T1SS1,37.8122130145612,0.7510700000000037,36.7394030759353,73.79921
T1SS1,40.05272749287111,0.7857999999999976,38.916349568974404,74.55028
T1SS1,42.42600080033454,0.8187100000000003,41.22228825123771,75.33608000000001
T1SS1,44.93989939212902,0.8412900000000001,43.66486239045556,76.15479
T1SS1,47.60275584020524,0.8469599999999994,46.25216814644375,76.99608
T1SS1,50.42339645244233,0.8326500000000014,48.99278140664688,77.84304
T1SS1,53.41117052834082,0.7993299999999981,51.8957862117873,78.67569
T1SS1,56.57598134822446,0.7516700000000015,54.970804865839874,79.47502
T1SS1,59.928318998667585,0.6967000000000001,58.228029830134766,80.22669
T1SS1,63.47929514295152,0.6427099999999991,61.67825750730454,80.92339
T1SS1,67.24067985179997,0.5979000000000012,65.33292402705641,81.56609999999999
T1SS1,71.22494061647258,0.5693099999999979,69.20414315238429,82.164
T1SS1,75.4452836735298,0.5616300000000018,73.30474643186541,82.73330999999999
T1SS1,79.91569777824375,0.5762299999999998,77.64832573113009,83.29494
T1SS1,84.65100057174706,0.6109799999999999,82.24927828447905,83.87116999999999
T1SS1,89.66688769560785,0.6609599999999993,87.1228544159779,84.48215
T1SS1,94.97998481662621,0.7198100000000013,92.28520808820318,85.14311
T1SS1,100.60790273429369,0.7809399999999994,97.75345044619048,85.86292
T1SS1,106.56929575357498,0.8385000000000004,103.54570653406086,86.64385999999999
T1SS1,112.88392351649449,0.8877399999999993,109.6811753723183,87.48236
T1SS1,119.57271649747493,0.9252800000000005,116.18019359495162,88.3701
T1SS1,126.65784537951818,0.9495019999999993,123.0643028572711,89.29538000000001
T1SS1,134.16279454118373,0.9606130000000004,130.35632123791046,90.244882
T1SS1,142.11243989794414,0.9605859999999994,138.08041887166408,91.205495
T1SS1,150.53313135593086,0.9524190000000001,146.26219806385058,92.166081
T1SS1,159.45278015137188,0.9388310000000004,154.92877815175214,93.1185
T1SS1,168.9009513652159,0.9208359999999999,164.10888539440919,94.057331
T1SS1,178.90896191959308,0.896918,173.83294818872065,94.978167
T1SS1,189.50998438093077,0.863038,184.13319792745315,95.875085
T1SS1,200.73915691379074,0.8133679999999998,195.04377583346178,96.738123
T1SS1,212.63369974988112,0.7416499999999999,206.60084612423844,97.551491
T1SS1,225.23303855829067,0.6430220000000002,218.84271588187934,98.29314099999999
T1SS1,238.57893512586944,0.5156582999999999,231.80996202579573,98.936163
T1SS1,252.715625780908,0.3615643,245.5455658090302,99.45182129999999
T1SS1,267.68996801893644,0.18661439999999999,260.0950552839803,99.8133856
T1SS1,283.55159581664765,0,275.50665620974894,100
