sample_id,Particle Diameter (µm),Volume Frequency Percent,Particle Diameter (µm),Cumulative Finer Volume Percent
T3SS3,0.30035308414874906,0,0.29183145190131526,0
T3SS3,0.31815012325305014,0.0014599999999975743,0.309123552550365,0
T3SS3,0.337001703221407,0.006939999999999724,0.3274402745790115,0.0014599999999975743
T3SS3,0.3569703095283665,0.01887000000000416,0.3468423306208923,0.008399999999997299
T3SS3,0.3781221301456121,0.039330000000004084,0.36739403075935295,0.02727000000000146
T3SS3,0.40052727492871126,0.06992999999999583,0.3891634956897441,0.06660000000000554
T3SS3,0.4242600080033455,0.1117099999999982,0.4122228825123773,0.13653000000000137
T3SS3,0.44939899392129007,0.16485000000000527,0.4366486239045555,0.24823999999999957
T3SS3,0.4760275584020523,0.22863999999999107,0.46252168146443734,0.41309000000000484
T3SS3,0.5042339645244234,0.30138000000000664,0.48992781406646874,0.6417299999999959
T3SS3,0.5341117052834085,0.3802799999999995,0.5189578621178732,0.9431100000000026
T3SS3,0.5657598134822446,0.4616899999999924,0.5497080486583991,1.323390000000002
T3SS3,0.5992831899866757,0.5411800000000078,0.5822802983013474,1.7850799999999944
T3SS3,0.6347929514295152,0.6139400000000017,0.6167825750730453,2.326260000000002
T3SS3,0.6724067985179998,0.675339999999991,0.653329240270564,2.940200000000004
T3SS3,0.7122494061647261,0.7215700000000047,0.6920414315238431,3.615539999999995
T3SS3,0.7544528367352978,0.750329999999999,0.7330474643186544,4.337109999999999
T3SS3,0.7991569777824372,0.7614100000000068,0.7764832573113003,5.087439999999999
T3SS3,0.8465100057174706,0.7571399999999895,0.8224927828447904,5.848850000000006
T3SS3,0.8966688769560786,0.7422800000000063,0.871228544159779,6.605989999999995
T3SS3,0.9497998481662624,0.7236600000000037,0.9228520808820317,7.348270000000001
T3SS3,1.006079027342937,0.7091799999999981,0.9775345044619053,8.071930000000005
T3SS3,1.0656929575357494,0.706489999999993,1.035457065340608,8.781110000000004
T3SS3,1.1288392351649452,0.7214400000000065,1.096811753723183,9.487599999999997
T3SS3,1.1957271649747494,0.7565799999999956,1.1618019359495164,10.209040000000002
T3SS3,1.266578453795182,0.8102200000000059,1.230643028572711,10.965619999999998
T3SS3,1.3416279454118374,0.876279999999996,1.3035632123791052,11.775840000000004
T3SS3,1.4211243989794413,0.945600000000002,1.3808041887166405,12.65212
T3SS3,1.505331313559309,1.0082499999999994,1.462621980638506,13.597720000000002
T3SS3,1.5945278015137192,1.05653,1.5492877815175217,14.605970000000001
T3SS3,1.6890095136521597,1.0877599999999932,1.641088853944092,15.662500000000001
T3SS3,1.7890896191959311,1.1054700000000084,1.7383294818872077,16.750259999999994
T3SS3,1.8950998438093074,1.1182599999999931,1.8413319792745309,17.85573
T3SS3,2.007391569137907,1.1366399999999999,1.950437758334618,18.973989999999997
T3SS3,2.126336997498811,1.1687800000000026,2.066008461242384,20.110629999999997
T3SS3,2.2523303855829075,1.2172700000000036,2.1884271588187936,21.27941
T3SS3,2.385789351258694,1.2782699999999925,2.3180996202579585,22.49668
T3SS3,2.527156257809079,1.3434100000000004,2.4554556580903,23.774949999999993
T3SS3,2.6768996801893645,1.4031200000000021,2.600950552839803,25.118359999999996
T3SS3,2.835515958166477,1.449900000000004,2.7550665620974897,26.521479999999997
T3SS3,3.0035308414874904,1.480439999999994,2.9183145190131516,27.97138
T3SS3,3.181501232530502,1.4965000000000006,3.09123552550365,29.451819999999994
T3SS3,3.37001703221407,1.5041700000000047,3.274402745790115,30.948319999999995
T3SS3,3.5697030952836655,1.5102599999999966,3.468423306208923,32.45249
T3SS3,3.78122130145612,1.517540000000006,3.67394030759353,33.96275
T3SS3,4.005272749287112,1.5228599999999926,3.89163495689744,35.480290000000004
T3SS3,4.242600080033455,1.5205800000000047,4.122228825123773,37.00315
T3SS3,4.493989939212901,1.507539999999996,4.366486239045554,38.52373
T3SS3,4.7602755840205235,1.4832999999999985,4.625216814644375,40.03127
T3SS3,5.042339645244233,1.4477400000000085,4.899278140664687,41.51456999999999
T3SS3,5.3411170528340834,1.4009799999999961,5.18957862117873,42.96231
T3SS3,5.657598134822446,1.3448499999999974,5.49708048658399,44.36329
T3SS3,5.992831899866758,1.283640000000008,5.822802983013474,45.70814
T3SS3,6.347929514295153,1.223109999999994,6.167825750730454,46.991780000000006
T3SS3,6.724067985179997,1.1683800000000022,6.533292402705641,48.21489
T3SS3,7.122494061647259,1.1229800000000012,6.920414315238428,49.38327
T3SS3,7.544528367352981,1.0891799999999952,7.330474643186545,50.506249999999994
T3SS3,7.991569777824374,1.0686100000000032,7.764832573113007,51.59543
T3SS3,8.465100057174705,1.0631500000000016,8.224927828447903,52.66404
T3SS3,8.966688769560786,1.0744199999999982,8.71228544159779,53.72719
T3SS3,9.497998481662622,1.1018699999999992,9.228520808820319,54.801610000000004
T3SS3,10.060790273429369,1.140930000000001,9.775345044619048,55.90348
T3SS3,10.656929575357497,1.1829099999999981,10.354570653406086,57.04441
T3SS3,11.28839235164945,1.21695,10.968117537231828,58.22731999999999
T3SS3,11.957271649747495,1.2329299999999987,11.618019359495165,59.444269999999996
T3SS3,12.665784537951817,1.2247600000000025,12.30643028572711,60.6772
T3SS3,13.416279454118373,1.1923200000000023,13.035632123791045,61.90196
T3SS3,14.211243989794415,1.1408399999999985,13.80804188716641,63.094280000000005
T3SS3,15.053313135593088,1.078960000000001,14.626219806385059,64.23512
T3SS3,15.94527801513719,1.0160599999999964,15.492877815175214,65.31408
T3SS3,16.89009513652159,0.9602100000000002,16.41088853944092,66.33014
T3SS3,17.89089619195931,0.9163399999999988,17.383294818872066,67.29035
T3SS3,18.950998438093077,0.8855600000000019,18.413319792745316,68.20669
T3SS3,20.07391569137907,0.8661699999999994,19.504377583346177,69.09224999999999
T3SS3,21.26336997498811,0.8553900000000003,20.66008461242384,69.95842
T3SS3,22.523303855829067,0.8505600000000002,21.884271588187936,70.81381
T3SS3,23.85789351258694,0.8497599999999994,23.180996202579568,71.66437
T3SS3,25.271562578090798,0.8520599999999989,24.554556580903018,72.51413
T3SS3,26.76899680189364,0.8570000000000022,26.009505528398027,73.36619
T3SS3,28.355159581664765,0.8645900000000012,27.550665620974893,74.22318999999999
T3SS3,30.035308414874894,0.8752999999999983,29.183145190131516,75.08778000000001
T3SS3,31.815012325305016,0.8898099999999992,30.912355255036484,75.96308
T3SS3,33.70017032214071,0.9084600000000026,32.74402745790117,76.85289
T3SS3,35.69703095283665,0.9305599999999997,34.684233062089234,77.76135
T3SS3,37.8122130145612,0.9539499999999979,36.7394030759353,78.69191
T3SS3,40.05272749287111,0.9750100000000012,38.916349568974404,79.64586
