sample_id,Particle Diameter (µm),Volume Frequency Percent,Particle Diameter (µm),Cumulative Finer Volume Percent
T1SS2,0.30035308414874906,0,0.29183145190131526,0
T1SS2,0.31815012325305014,0.0020600000000037255,0.309123552550365,0
T1SS2,0.337001703221407,0.00990999999999076,0.3274402745790115,0.0020600000000037255
T1SS2,0.3569703095283665,0.0269600000000092,0.3468423306208923,0.011969999999994485
T1SS2,0.3781221301456121,0.05621000000000098,0.36739403075935295,0.038930000000003684
T1SS2,0.40052727492871126,0.09991999999999779,0.3891634956897441,0.09514000000000467
T1SS2,0.4242600080033455,0.15942999999999374,0.4122228825123773,0.19506000000000245
T1SS2,0.44939899392129007,0.23490000000000455,0.4366486239045555,0.3544899999999962
T1SS2,0.4760275584020523,0.325069999999994,0.46252168146443734,0.5893900000000007
T1SS2,0.5042339645244234,0.4272600000000071,0.48992781406646874,0.9144599999999947
T1SS2,0.5341117052834085,0.5372299999999997,0.5189578621178732,1.3417200000000018
T1SS2,0.5657598134822446,0.6494099999999947,0.5497080486583991,1.8789500000000015
T1SS2,0.5992831899866757,0.7572500000000093,0.5822802983013474,2.528359999999996
T1SS2,0.6347929514295152,0.8537699999999981,0.6167825750730453,3.2856100000000055
T1SS2,0.6724067985179998,0.9324200000000005,0.653329240270564,4.139380000000004
T1SS2,0.7122494061647261,0.9880799999999912,0.6920414315238431,5.071800000000004
T1SS2,0.7544528367352978,1.0181800000000019,0.7330474643186544,6.059879999999995
T1SS2,0.7991569777824372,1.02352,0.7764832573113003,7.078059999999997
T1SS2,0.8465100057174706,1.008690000000001,0.8224927828447904,8.101579999999997
T1SS2,0.8966688769560786,0.9820900000000021,0.871228544159779,9.110269999999998
T1SS2,0.9497998481662624,0.9548400000000012,0.9228520808820317,10.09236
T1SS2,1.006079027342937,0.9392900000000037,0.9775345044619053,11.047200000000002
T1SS2,1.0656929575357494,0.9466299999999928,1.035457065340608,11.986490000000005
T1SS2,1.1288392351649452,0.9845100000000051,1.096811753723183,12.933119999999999
T1SS2,1.1957271649747494,1.0546899999999915,1.1618019359495164,13.917630000000003
T1SS2,1.266578453795182,1.1517,1.230643028572711,14.972319999999995
T1SS2,1.3416279454118374,1.2631100000000006,1.3035632123791052,16.124019999999994
T1SS2,1.4211243989794413,1.37216,1.3808041887166405,17.387129999999996
T1SS2,1.505331313559309,1.4620100000000025,1.462621980638506,18.759289999999996
T1SS2,1.5945278015137192,1.5212500000000073,1.5492877815175217,20.2213
T1SS2,1.6890095136521597,1.5485199999999977,1.641088853944092,21.742550000000005
T1SS2,1.7890896191959311,1.5540600000000016,1.7383294818872077,23.29107
