sample_id,Particle Diameter (µm),Volume Frequency Percent,Particle Diameter (µm),Cumulative Finer Volume Percent
T2SS2,0.3569703095283665,0,0.3468423306208923,0
T2SS2,0.3781221301456121,0.0031000000000003247,0.36739403075935295,0
T2SS2,0.40052727492871126,0.013600000000002499,0.3891634956897441,0.0031000000000003247
T2SS2,0.4242600080033455,0.03503000000000256,0.4122228825123773,0.016700000000002824
T2SS2,0.44939899392129007,0.06981999999999822,0.4366486239045555,0.05173000000000538
T2SS2,0.4760275584020523,0.11898000000000186,0.46252168146443734,0.1215500000000036
T2SS2,0.5042339645244234,0.18201999999999385,0.48992781406646874,0.24053000000000546
T2SS2,0.5341117052834085,0.25663000000000213,0.5189578621178732,0.4225499999999993
T2SS2,0.5657598134822446,0.3389199999999981,0.5497080486583991,0.6791800000000014
T2SS2,0.5992831899866757,0.42343999999999715,0.5822802983013474,1.0180999999999996
T2SS2,0.6347929514295152,0.5037600000000086,0.6167825750730453,1.4415399999999967
T2SS2,0.6724067985179998,0.5731899999999901,0.653329240270564,1.9453000000000054
T2SS2,0.7122494061647261,0.625740000000008,0.6920414315238431,2.5184899999999955
T2SS2,0.7544528367352978,0.6572699999999987,0.7330474643186544,3.1442300000000034
T2SS2,0.7991569777824372,0.6664899999999974,0.7764832573113003,3.801500000000002
T2SS2,0.8465100057174706,0.6555599999999995,0.8224927828447904,4.4679899999999995
T2SS2,0.8966688769560786,0.6303100000000006,0.871228544159779,5.123549999999999
T2SS2,0.9497998481662624,0.5995799999999996,0.9228520808820317,5.7538599999999995
T2SS2,1.006079027342937,0.5737899999999962,0.9775345044619053,6.353439999999999
T2SS2,1.0656929575357494,0.56307000000001,1.035457065340608,6.927229999999995
T2SS2,1.1288392351649452,0.5749799999999916,1.096811753723183,7.490300000000005
T2SS2,1.1957271649747494,0.6123700000000065,1.1618019359495164,8.065279999999998
T2SS2,1.266578453795182,0.672039999999996,1.230643028572711,8.677650000000003
T2SS2,1.3416279454118374,0.7449900000000009,1.3035632123791052,9.349689999999999
T2SS2,1.4211243989794413,0.8184300000000033,1.3808041887166405,10.09468
T2SS2,1.505331313559309,0.8795699999999962,1.462621980638506,10.913110000000003
T2SS2,1.5945278015137192,0.9199500000000027,1.5492877815175217,11.79268
T2SS2,1.6890095136521597,0.9390499999999968,1.641088853944092,12.712630000000003
T2SS2,1.7890896191959311,0.9450100000000017,1.7383294818872077,13.651679999999999
T2SS2,1.8950998438093074,0.9517400000000009,1.8413319792745309,14.59669
T2SS2,2.007391569137907,0.9730799999999928,1.950437758334618,15.548430000000002
T2SS2,2.126336997498811,1.0164700000000026,2.066008461242384,16.521509999999996
T2SS2,2.2523303855829075,1.0795,2.1884271588187936,17.537979999999997
T2SS2,2.385789351258694,1.1513800000000018,2.3180996202579585,18.617479999999997
T2SS2,2.527156257809079,1.2184700000000048,2.4554556580903,19.76886
T2SS2,2.6768996801893645,1.270759999999993,2.600950552839803,20.987330000000004
T2SS2,2.835515958166477,1.3052300000000017,2.7550665620974897,22.258089999999996
T2SS2,3.0035308414874904,1.3250399999999996,2.9183145190131516,23.563319999999997
T2SS2,3.181501232530502,1.33683,3.09123552550365,24.88836
T2SS2,3.37001703221407,1.3480600000000065,3.274402745790115,26.225189999999998
T2SS2,3.5697030952836655,1.3641399999999915,3.468423306208923,27.573250000000005
T2SS2,3.78122130145612,1.3848500000000041,3.67394030759353,28.937389999999997
T2SS2,4.005272749287112,1.4033500000000032,3.89163495689744,30.32224
T2SS2,4.242600080033455,1.4109399999999939,4.122228825123773,31.725590000000004
T2SS2,4.493989939212901,1.4036099999999996,4.366486239045554,33.13653
T2SS2,4.7602755840205235,1.382630000000007,4.625216814644375,34.540139999999994
T2SS2,5.042339645244233,1.3503700000000007,4.899278140664687,35.92277000000001
T2SS2,5.3411170528340834,1.3087699999999924,5.18957862117873,37.273140000000005
T2SS2,5.657598134822446,1.2605500000000047,5.49708048658399,38.58190999999999
T2SS2,5.992831899866758,1.2096200000000001,5.822802983013474,39.84246
T2SS2,6.347929514295153,1.1597199999999974,6.167825750730454,41.052080000000004
T2SS2,6.724067985179997,1.1127600000000015,6.533292402705641,42.2118
T2SS2,7.122494061647259,1.069589999999998,6.920414315238428,43.32456
T2SS2,7.544528367352981,1.0313200000000022,7.330474643186545,44.394149999999996
T2SS2,7.991569777824374,1.0005799999999954,7.764832573113007,45.425470000000004
T2SS2,8.465100057174705,0.9824500000000014,8.224927828447903,46.42605
T2SS2,8.966688769560786,0.9831699999999999,8.71228544159779,47.4085
T2SS2,9.497998481662622,1.006269999999998,9.228520808820319,48.39167
T2SS2,10.060790273429369,1.0486500000000065,9.775345044619048,49.39794
T2SS2,10.656929575357497,1.0996399999999962,10.354570653406086,50.44659
T2SS2,11.28839235164945,1.1440900000000032,10.968117537231828,51.54623
T2SS2,11.957271649747495,1.1680299999999977,11.618019359495165,52.69032
T2SS2,12.665784537951817,1.16386,12.30643028572711,53.85835
T2SS2,13.416279454118373,1.131660000000001,13.035632123791045,55.02221
T2SS2,14.211243989794415,1.0774300000000014,13.80804188716641,56.153870000000005
T2SS2,15.053313135593088,1.0107699999999997,14.626219806385059,57.231300000000005
T2SS2,15.94527801513719,0.9426999999999963,15.492877815175214,58.24207
T2SS2,16.89009513652159,0.8833000000000035,16.41088853944092,59.18477
T2SS2,17.89089619195931,0.8388599999999968,17.383294818872066,60.068070000000006
T2SS2,18.950998438093077,0.8106100000000005,18.413319792745316,60.90693
T2SS2,20.07391569137907,0.7963600000000015,19.504377583346177,61.71754000000001
T2SS2,21.26336997498811,0.792480000000001,20.66008461242384,62.5139
T2SS2,22.523303855829067,0.7956099999999966,21.884271588187936,63.30638
T2SS2,23.85789351258694,0.8034200000000047,23.180996202579568,64.10199
T2SS2,25.271562578090798,0.8141499999999968,24.554556580903018,64.90541
T2SS2,26.76899680189364,0.8260099999999992,26.009505528398027,65.71956
T2SS2,28.355159581664765,0.8373300000000028,27.550665620974893,66.54557
T2SS2,30.035308414874894,0.8467899999999973,29.183145190131516,67.3829
T2SS2,31.815012325305016,0.8538800000000013,30.912355255036484,68.22969
T2SS2,33.70017032214071,0.8586499999999997,32.74402745790117,69.08357000000001
T2SS2,35.69703095283665,0.8611099999999983,34.684233062089234,69.94222
T2SS2,37.8122130145612,0.8609699999999998,36.7394030759353,70.80333
T2SS2,40.05272749287111,0.8580300000000041,38.916349568974404,71.6643
T2SS2,42.42600080033454,0.8526800000000001,41.22228825123771,72.52233
T2SS2,44.93989939212902,0.8463799999999966,43.66486239045556,73.37501
T2SS2,47.60275584020524,0.8417800000000031,46.25216814644375,74.22139
T2SS2,50.42339645244233,0.8422899999999983,48.99278140664688,75.06317
T2SS2,53.41117052834082,0.8509600000000006,51.8957862117873,75.90546
T2SS2,56.57598134822446,0.8690299999999984,54.970804865839874,76.75642
T2SS2,59.928318998667585,0.8950300000000022,58.228029830134766,77.62545
T2SS2,63.47929514295152,0.92478,61.67825750730454,78.52048
T2SS2,67.24067985179997,0.9523599999999993,65.33292402705641,79.44526
T2SS2,71.22494061647258,0.9717200000000009,69.20414315238429,80.39762
T2SS2,75.4452836735298,0.9779399999999994,73.30474643186541,81.36934
T2SS2,79.91569777824375,0.9681999999999996,77.64832573113009,82.34728
T2SS2,84.65100057174706,0.9422999999999987,82.24927828447905,83.31548
T2SS2,89.66688769560785,0.9028000000000008,87.1228544159779,84.25778
T2SS2,94.97998481662621,0.8546100000000001,92.28520808820318,85.16058
T2SS2,100.60790273429369,0.8043400000000006,97.75345044619048,86.01518999999999
T2SS2,106.56929575357498,0.7590199999999991,103.54570653406086,86.81953
T2SS2,112.88392351649449,0.7249900000000004,109.6811753723183,87.57854999999999
T2SS2,119.57271649747493,0.7070000000000007,116.18019359495162,88.30354
T2SS2,126.65784537951818,0.70799,123.0643028572711,89.01054
T2SS2,134.16279454118373,0.7286139999999997,130.35632123791046,89.71853
T2SS2,142.11243989794414,0.7671129999999998,138.08041887166408,90.44714400000001
T2SS2,150.53313135593086,0.8191450000000002,146.26219806385058,91.214257
T2SS2,159.45278015137188,0.8779629999999996,154.92877815175214,92.033402
T2SS2,168.9009513652159,0.9347880000000003,164.10888539440919,92.911365
T2SS2,178.90896191959308,0.9794239999999996,173.83294818872065,93.846153
T2SS2,189.50998438093077,1.0010240000000004,184.13319792745315,94.82557700000001
T2SS2,200.73915691379074,0.9891209999999997,195.04377583346178,95.826601
T2SS2,212.63369974988112,0.9349160000000002,206.60084612423844,96.81572200000001
T2SS2,225.23303855829067,0.8326499999999999,218.84271588187934,97.750638
T2SS2,238.57893512586944,0.6809483,231.80996202579573,98.583288
T2SS2,252.715625780908,0.48396110000000003,245.5455658090302,99.2642363
T2SS2,267.68996801893644,0.2518026,260.0950552839803,99.74819740000001
T2SS2,283.55159581664765,0,275.50665620974894,100
